tconst,primaryTitle,startYear,averageRating,numVotes
tt0061184,Who's Afraid of Virginia Woolf?,1966,8.0,83377
tt10554232,Dara of Jasenovac,2020,8.0,82412
tt0292490,Dil Chahta Hai,2001,8.0,80159
tt0386032,Sicko,2007,8.0,78172
tt0052561,Anatomy of a Murder,1959,8.0,78124
tt4169250,M.S. Dhoni: The Untold Story,2016,8.0,76632
tt0010323,The Cabinet of Dr. Caligari,1920,8.0,76534
tt0120731,The Legend of 1900,1998,8.0,73934
tt0384116,G.O.R.A.,2004,8.0,71999
tt0047528,La Strada,1954,8.0,70124
tt1865505,Song of the Sea,2014,8.0,68591
tt0056687,What Ever Happened to Baby Jane?,1962,8.0,68023
tt0062229,Le Samouraï,1967,8.0,66590
tt3612616,Mommy,2014,8.0,65865
tt0114787,Underground,1995,8.0,64339
tt1185616,Waltz with Bashir,2008,8.0,62796
tt2377938,Special 26,2013,8.0,62643
tt2576852,The Tale of The Princess Kaguya,2013,8.0,62544
tt3390572,Haider,2014,8.0,61363
tt0060107,Andrei Rublev,1966,8.0,60830
tt0050613,Throne of Blood,1957,8.0,60541
tt4044364,Citizenfour,2014,8.0,60185
tt2758880,Winter Sleep,2014,8.0,59160
tt0118843,"Black Cat, White Cat",1998,8.0,58959
tt0109117,Andaz Apna Apna,1994,8.0,58083
tt1069238,Departures,2008,8.0,57645
tt0067328,The Last Picture Show,1971,8.0,57205
tt0456144,Lage Raho Munna Bhai,2006,8.0,53672
tt5571734,Pink,2016,8.0,52443
tt0067093,Fiddler on the Roof,1971,8.0,52417
tt0140888,Central Station,1998,8.0,51078
tt0117589,Secrets & Lies,1996,8.0,50546
tt0499549,Avatar,2009,7.9,1506307
tt0371746,Iron Man,2008,7.9,1232326
tt3501632,Thor: Ragnarok,2017,7.9,901054
tt8946378,Knives Out,2019,7.9,883505
tt2543164,Arrival,2016,7.9,870654
tt0126029,Shrek,2001,7.9,815603
tt1631867,Edge of Tomorrow,2014,7.9,809345
tt1877832,X-Men: Days of Future Past,2014,7.9,790867
tt0304141,Harry Potter and the Prisoner of Azkaban,2004,7.9,771609
tt1136608,District 9,2009,7.9,754878
tt0454876,Life of Pi,2012,7.9,702701
tt0120363,Toy Story 2,1999,7.9,677971
tt1727824,Bohemian Rhapsody,2018,7.9,650506
tt0796366,Star Trek,2009,7.9,639579
tt1659337,The Perks of Being a Wallflower,2012,7.9,600896
tt0206634,Children of Men,2006,7.9,568657
tt0790636,Dallas Buyers Club,2013,7.9,550380
tt0327056,Mystic River,2003,7.9,525152
tt0780536,In Bruges,2008,7.9,495589
tt2584384,Jojo Rabbit,2019,7.9,490812
tt0319061,Big Fish,2003,7.9,478419
tt6791350,Guardians of the Galaxy Vol. 3,2023,7.9,476812
tt12361974,Zack Snyder's Justice League,2021,7.9,476022
tt0083866,E.T. the Extra-Terrestrial,1982,7.9,473773
tt0166924,Mulholland Drive,2001,7.9,430664
tt0107688,The Nightmare Before Christmas,1993,7.9,413118
tt1065073,Boyhood,2014,7.9,382675
tt7653254,Marriage Story,2019,7.9,373342
tt0472043,Apocalypto,2006,7.9,361364
