tconst,primaryTitle,startYear,averageRating,numVotes,qid,pagerank,imdb_rank,pagerank_rank
tt0112471,Before Sunrise,1995,8.1,380722,Q659609,0.0010097105180842,243.0,351.0
tt0071315,Chinatown,1974,8.1,377824,Q644987,0.0019020565484299,244.0,219.0
tt0381681,Before Sunset,2004,8.1,317317,Q652186,0.0010097105180842,245.0,352.0
tt0059742,The Sound of Music,1965,8.1,292641,Q60072,0.0025395573286478,246.0,144.0
tt0052618,Ben-Hur,1959,8.1,271964,Q180098,0.0044788263635608,247.0,35.0
tt0353969,Memories of Murder,2003,8.1,270695,Q488169,0.0009351007606627,248.0,364.0
tt0129167,The Iron Giant,1999,8.1,262734,Q867283,0.0016947568484798,249.0,254.0
tt0050212,The Bridge on the River Kwai,1957,8.1,249490,Q188718,0.0040307897007076,250.0,51.0
tt3011894,Wild Tales,2014,8.1,239790,Q16672466,0.0013808791182488,251.0,303.0
tt0113247,La haine,1995,8.1,228887,Q466101,0.0006657661450495,252.0,427.0
tt2338151,PK,2014,8.1,224441,Q7117022,0.0014071642903198,253.0,300.0
tt0050976,The Seventh Seal,1957,8.1,216208,Q217189,0.0011345732931734,254.0,338.0
tt0072684,Barry Lyndon,1975,8.1,206350,Q471716,0.0020211012739226,255.0,198.0
tt4016934,The Handmaiden,2016,8.1,205862,Q20444585,0.0017413901401123,256.0,249.0
tt0046912,Dial M for Murder,1954,8.1,205751,Q496255,0.0013284467384305,257.0,307.0
tt0107207,In the Name of the Father,1993,8.1,203603,Q304074,0.0016588500059433,258.0,258.0
tt0978762,Mary and Max,2009,8.1,202406,Q1128756,0.0005479592020349,259.0,455.0
tt0042876,Rashomon,1950,8.1,197526,Q135465,0.0034609309266628,260.0,80.0
tt0041959,The Third Man,1949,8.1,196343,Q271830,0.002518948425655,261.0,146.0
tt0074958,Network,1976,8.1,186489,Q572165,0.0014877235464423,262.0,283.0
tt0047296,On the Waterfront,1954,8.1,179510,Q211372,0.0036455859904609,263.0,69.0
tt0087884,"Paris, Texas",1984,8.1,142890,Q160946,0.0017658556898652,264.0,247.0
tt0169102,Lagaan: Once Upon a Time in India,2001,8.1,129978,Q843949,0.003064171061713,265.0,102.0
tt0031679,Mr. Smith Goes to Washington,1939,8.1,129916,Q866120,0.0007540309442823,266.0,404.0
tt0015864,The Gold Rush,1925,8.1,128547,Q214723,0.0018043005123552,267.0,237.0
tt0405508,Rang De Basanti,2006,8.1,126920,Q924135,0.0025171132903897,268.0,147.0
tt0050986,Wild Strawberries,1957,8.1,125082,Q239756,0.0018231494426026,269.0,233.0
tt0025316,It Happened One Night,1934,8.1,120128,Q208632,0.0029938772012229,270.0,107.0
tt15327088,Kantara,2022,8.1,117421,Q114322727,0.0017845435306847,271.0,241.0
tt0111495,Three Colors: Red,1994,8.1,116212,Q952142,0.0015342914317323,272.0,271.0
tt3863552,Bajrangi Bhaijaan,2015,8.1,112438,Q18603021,0.0019624519631651,273.0,212.0
